,Lambda,ECS_Fargate,ECS_EC2,EKS_Fargate,EKS_EC2,RKE,,,,,,,,
,,,,,,,,,,ECS_Fargate,ECS_EC2,EKS_Fargate,EKS_EC2,RKE
Sysbench,,,,,,,,Sysbench ,,14.86696667,14.96486667,12.21333333,10.29936667,10.45006667
,,14.3008,14.3182,12.2089,10.2168,10.2576,,,,,,,,
,,14.7968,16.2743,12.137,10.327,10.479,,,,ECS_Fargate,ECS_EC2,EKS_Fargate,EKS_EC2,RKE
,,15.5033,14.3021,12.2941,10.3543,10.6136,,Compression,,784,12696.33333,1656,12824.33333,13971
Average,#DIV/0!,14.86696667,14.96486667,12.21333333,10.29936667,10.45006667,,Decompression,,532.3333333,17879.66667,1137.666667,18601.33333,20973
,,,,,,,,,,,,,,
FSMARK,,,,,,,,,,,,,,
,,,137.1,,132.4,52.1,,,,ECS_Fargate,ECS_EC2,EKS_Fargate,EKS_EC2,RKE
,,,136.4,,132.3,46.9,, Add ,,1688.496667,2762.523333,3253.603333,22869.07333,15054.84
,,,136.8,,132.5,52.6,,Copy ,,1683.21,3007.033333,3197.736667,25646.84,13789.29667
Average,#DIV/0!,#DIV/0!,136.7666667,#DIV/0!,132.4,50.53333333,,Scale,,1589.823333,2306.876667,3066.936667,19559.49667,14278.55333
,,,,,,,,Triad ,,1766.75,3165.403333,3286.6,26411.24333,15970.99667
RAMspeed - Add Floating Point,,,,,,,,Average,,1687.87,2814.283333,3192.813333,23623.46,15146.25333
,,1706.85,2729.25,3173.43,23142.81,15116.75,,,,,,,,
,,1675.51,2742.72,3168.67,22996.87,13634.06,,,,,,,,
,,1683.13,2815.6,3418.71,22467.54,16413.71,,,,,,,,
Average,#DIV/0!,1688.496667,2762.523333,3253.603333,22869.07333,15054.84,,,,ECS_Fargate,ECS_EC2,EKS_Fargate,EKS_EC2,RKE
,,,,,,,,Memory Copy ,,944.7566667,1189.513333,2499.143333,4813.92,6770.156667
RAMSpeed - Copy - Benchmark: Floating Point,,,,,,,,,,,,,,
,,1685.37,2993.84,3124.72,25868.19,13485.41,,,,,ECS_EC2,,EKS_EC2,RKE
,,1681.24,2958.22,3106.24,25619.02,13208.8,,FSMark,,,136.7666667,,132.4,50.53333333
,,1683.02,3069.04,3362.25,25453.31,14673.68,,,,,,,,
Average,#DIV/0!,1683.21,3007.033333,3197.736667,25646.84,13789.29667,,,,,,,,
,,,,,,,,,,ECS_Fargate,ECS_EC2,EKS_Fargate,EKS_EC2,RKE
RAMSpeed - Scale - Benchmark: Floating Point,,,,,,,,m-queens,,8934.833,7600.55,4216.447,264.18,132.3767
,,1610.41,2297.17,2988.7,19691.77,13917.59,,,,,,,,
,,1568.97,2293.15,2978.65,19682.7,13963.45,,,,ECS_Fargate,ECS_EC2,EKS_Fargate,EKS_EC2,RKE
,,1590.09,2330.31,3233.46,19304.02,14954.62,,On-Premise,,173.6666667,167,142.3333333,149.5,29.33333333
Average,#DIV/0!,1589.823333,2306.876667,3066.936667,19559.49667,14278.55333,,RDS,,35.52,37.74333333,39.78333333,32.67333333,156
,,,,,,,,,,,,,,
RAMSpeed - Triad - Benchmark: Floating Point,,,,,,,,,Lambda,ECS_Fargate,ECS_EC2,EKS_Fargate,EKS_EC2,RKE
,,1796.32,3118.36,3193.79,26623.95,15662.69,,On-Premise,13.54,10.27,9.59,10.36,10.25,1.55
